icao;iata;name;city;region;country;latitude;longitude;timezone;pop;pop_dens;total_passengers;commercial traffic;non-commercial traffic;elevation
LSGB;;Bex Airport;Bex;Vaud;CH;46.2583007813;6.9863901138;Europe/Zurich;8167.0;84.6;26981.0;45.0;26936.0;399.87808594940566
LSGC;;Les Eplatures Airport;La Chaux-de-Fonds;Neuchatel;CH;47.0839004517;6.792840004;Europe/Zurich;36527.0;655.7;4453.0;2810.0;1643.0;1026.5163060042669
LSGE;;Ecuvillens Airport;;Fribourg;CH;46.7550010681;7.0761098862;Europe/Zurich;;;27017.0;0.0;27017.0;698.8722950320024
LSGG;GVA;Geneva Cointrin International Airport;Geneva;Geneva;CH;46.2380981445;6.1089501381;Europe/Zurich;;;14043029.0;14015274.0;27755.0;430.05181347150256
LSGK;;Saanen Airport;Saanen;Bern;CH;46.4874992371;7.2508301735;Europe/Zurich;6929.0;57.7;8507.0;3893.0;4614.0;1007.9244132886315
LSGL;QLS;Lausanne-la Blecherette Airport;Lausanne;Vaud;CH;46.54529953;6.6166701317;Europe/Zurich;141418.0;3417.5;20620.0;3326.0;17294.0;622.0664431575739
LSGN;QNC;Neuchatel Airport;;Neuchatel;CH;46.9575004578;6.8647198677;Europe/Zurich;;;3441.0;226.0;3215.0;434.9283754952758
LSGP;;La Cote Airport;La Cote;Vaud;CH;46.4063987732;6.2580599785;Europe/Zurich;;;2472.0;0.0;2472.0;412.0694910088387
LSGR;;Reichenbach Air Base;;Bern;CH;46.6136016846;7.6777801514;Europe/Zurich;;;11902.0;286.0;11616.0;726.9125266686985
LSGS;SIR;Sion Airport;Sion;Valais;CH;46.2196006775;7.3267598152;Europe/Zurich;35650.0;1022.7;36496.0;22880.0;13616.0;483.08442548003654
LSGT;;Gruyeres Airport;;Fribourg;CH;46.5942001343;7.0944399834;Europe/Zurich;;;9990.0;16.0;9974.0;687.9000304785126
LSGY;;Yverdon-les-Bains Airport;Yverdon-les-Bains;Vaud;CH;46.7619018555;6.6133298874;Europe/Zurich;29827.0;2202.9;3756.0;0.0;3756.0;433.09966473636086
LSMA;;Alpnach Air Base;Alpnach;Obwalden;CH;46.943901062;8.2841701508;Europe/Zurich;6222.0;115.7;;;;444.98628466930813
LSMD;;Dubendorf Airport;Zurich;Zurich;CH;47.398601532;8.648229599;Europe/Zurich;;;178.0;178.0;0.0;448.0341359341664
LSME;;Emmen Airport;;Lucerne;CH;47.0923995972;8.3051204681;Europe/Zurich;;;;;;426.69917708015845
LSMF;;Mollis Airport;;Glarus;CH;47.0788993835;9.0648298264;Europe/Zurich;;;;;;452.6059128314538
LSMI;ZIN;Interlaken Air Base;;Bern;CH;46.6766014099;7.8790798187;Europe/Zurich;;;;;;0.0
LSMJ;;Turtman Air Base;Turtman;Valais;CH;46.3026008606;7.7139501572;Europe/Zurich;;;;;;0.0
LSML;;Lodrino Air Base;Lodrino;Ticino;CH;46.2958984375;8.9921302795;Europe/Zurich;;;;;;0.0
LSMM;;Meiringen Airport;;Bern;CH;46.7433013916;8.1099996567;Europe/Zurich;;;;;;577.5678146906431
LSMP;;Payerne Airport;;Vaud;CH;46.8432006836;6.9150600433;Europe/Zurich;;;2585.0;2585.0;0.0;446.51021030173723
LSPA;;Amlikon Glider Airport;;Thurgau;CH;47.5741996765;9.0474996567;Europe/Zurich;;;1005.0;0.0;1005.0;417.8604084120695
LSPD;;Dittingen Airport;;Basel-Landschaft;CH;47.4385986328;7.4913902283;Europe/Zurich;;;288.0;0.0;288.0;535.8122523620847
LSPF;;Schaffhausen Airport;;Schaffhausen;CH;47.6906013489;8.5269403458;Europe/Zurich;;;455.0;0.0;455.0;462.96860713197196
LSPG;;Kagiswil Airport;;Obwalden;CH;46.9082984924;8.2541704178;Europe/Zurich;;;4571.0;0.0;4571.0;464.7973178908869
LSPH;;Winterthur Airport;Winterthur;Zurich;CH;47.5149993896;8.7719402313;Europe/Zurich;116906.0;1717.4;210.0;0.0;210.0;459.0064004876562
LSPK;;Hasenstrick Airport;;Zurich;CH;47.2799987793;8.881939888;Europe/Zurich;;;0.0;0.0;0.0;0.0
